,acc,clf,data,f1,feat_generator,tacc
56,0.5506807866868382,Passive Aggresive,4-unbalanced,0.5116595500785804,hash_ng2,0.5506807866868382
57,0.5627836611195158,SVM,4-unbalanced,0.49832088119335016,hash_ng2,0.5627836611195158
58,0.5385779122541603,Perceptron,4-unbalanced,0.5055801217240491,hash_ng2,0.5385779122541604
59,0.5083207261724659,bnb,4-unbalanced,0.3426193861463361,hash_ng2,0.5083207261724659
60,0.556732223903177,sgd,4-unbalanced,0.5157520268603497,hash_ng2,0.556732223903177
61,0.48562783661119513,KNN,4-unbalanced,0.4675628784099723,hash_ng2,0.4856278366111952
62,0.5264750378214826,Logistic Regression,4-unbalanced,0.39170121097099647,hash_ng3,0.5264750378214826
63,0.5642965204236006,Passive Aggresive,4-unbalanced,0.5031171399627893,hash_ng3,0.5642965204236006
64,0.5627836611195158,SVM,4-unbalanced,0.4838601388525746,hash_ng3,0.5627836611195158
65,0.5597579425113464,Perceptron,4-unbalanced,0.5109959510923041,hash_ng3,0.5597579425113465
66,0.5083207261724659,bnb,4-unbalanced,0.3426193861463361,hash_ng3,0.5083207261724659
67,0.5521936459909229,sgd,4-unbalanced,0.48935906028757675,hash_ng3,0.5521936459909228
68,0.4659606656580938,KNN,4-unbalanced,0.4532889902757513,hash_ng3,0.4659606656580938
69,0.3767019667170953,Logistic Regression,4-unbalanced,0.37026708895744836,delta_tfidf1,0.3767019667170953
70,0.32223903177004537,Passive Aggresive,4-unbalanced,0.3116129717648593,delta_tfidf1,0.32223903177004537
71,0.3207261724659607,SVM,4-unbalanced,0.3133374543865127,delta_tfidf1,0.3207261724659607
72,0.3449319213313162,Perceptron,4-unbalanced,0.3393187174470944,delta_tfidf1,0.34493192133131617
73,0.4750378214826021,bnb,4-unbalanced,0.39930159052714154,delta_tfidf1,0.4750378214826021
74,0.329803328290469,sgd,4-unbalanced,0.3108497419313121,delta_tfidf1,0.329803328290469
75,0.36459909228441756,KNN,4-unbalanced,0.3463779691742055,delta_tfidf1,0.36459909228441756
76,0.3767019667170953,Logistic Regression,4-unbalanced,0.37026708895744836,delta_tfidf2,0.3767019667170953
77,0.3207261724659607,Passive Aggresive,4-unbalanced,0.30981407160901425,delta_tfidf2,0.3207261724659607
78,0.3207261724659607,SVM,4-unbalanced,0.3133374543865127,delta_tfidf2,0.3207261724659607
79,0.3449319213313162,Perceptron,4-unbalanced,0.3393187174470944,delta_tfidf2,0.34493192133131617
80,0.4750378214826021,bnb,4-unbalanced,0.39930159052714154,delta_tfidf2,0.4750378214826021
81,0.33434190620272314,sgd,4-unbalanced,0.3338997867817835,delta_tfidf2,0.33434190620272314
82,0.36459909228441756,KNN,4-unbalanced,0.3463779691742055,delta_tfidf2,0.36459909228441756
83,0.3767019667170953,Logistic Regression,4-unbalanced,0.37026708895744836,delta_tfidf3,0.3767019667170953
84,0.32072617246596064,Passive Aggresive,4-unbalanced,0.31112834833124503,delta_tfidf3,0.3207261724659607
85,0.3207261724659607,SVM,4-unbalanced,0.3133374543865127,delta_tfidf3,0.3207261724659607
86,0.3449319213313162,Perceptron,4-unbalanced,0.3393187174470944,delta_tfidf3,0.34493192133131617
87,0.4750378214826021,bnb,4-unbalanced,0.39930159052714154,delta_tfidf3,0.4750378214826021
88,0.340393343419062,sgd,4-unbalanced,0.33498815176362995,delta_tfidf3,0.340393343419062
89,0.36459909228441756,KNN,4-unbalanced,0.3463779691742055,delta_tfidf3,0.36459909228441756
90,0.5115303983228512,Logistic Regression,4-balanced,0.5048665115811695,count_ng1,0.5115303983228512
91,0.5115303983228511,Passive Aggresive,4-balanced,0.5085854334400846,count_ng1,0.5115303983228512
92,0.4884696016771488,SVM,4-balanced,0.4833128562643156,count_ng1,0.48846960167714887
93,0.49475890985324944,Perceptron,4-balanced,0.49336161116814625,count_ng1,0.4947589098532495
94,0.519916142557652,bnb,4-balanced,0.48478451090956964,count_ng1,0.519916142557652
95,0.5345911949685533,mnb,4-balanced,0.5382250384312549,count_ng1,0.5345911949685535
96,0.4591194968553459,sgd,4-balanced,0.45856978680139293,count_ng1,0.4591194968553459
97,0.3081761006289308,KNN,4-balanced,0.2598648457139219,count_ng1,0.3081761006289308
98,0.5094339622641509,Logistic Regression,4-balanced,0.500879908314717,count_ng2,0.5094339622641509
99,0.5031446540880502,Passive Aggresive,4-balanced,0.5023039211259734,count_ng2,0.5031446540880503
